,期货结算价(活跃合约):焦煤,综合平均价格指数:环渤海动力煤(Q5500K),期货结算价(连续):布伦特原油,期货结算价(连续):IPE英国天然气,期货结算价(连续):WTI原油,钻机数量:美国:当周值,期货结算价(活跃合约):阴极铜,期货结算价(活跃合约):铝,总库存:LME铝,上期有色金属指数,期货结算价(活跃合约):甲醇,期货结算价(活跃合约):聚丙烯,期货结算价(活跃合约):燃料油,市场价:涤纶长丝(FDY150D/96F):全国,CCFEI价格指数:涤纶短纤,中国铁矿石价格指数(CIOPI):国产铁矿石,全国主要港口:铁矿石库存:总计(45港口),Myspic综合钢价指数,水泥价格指数:全国,22个省市:平均价:猪肉,平均价:羊肉:全国,期货结算价(活跃合约):菜籽油,日均产量:粗钢:重点企业(旬),日均产量:生铁:重点企业(旬),南华工业品指数,日均耗煤量:6大发电集团:合计:月:环比,期货结算价(活跃合约):IPE英国天然气:月:环比,全国主要港口:铁矿石库存:总计:环比,平均批发价:羊肉:月:环比
2017/12/31,8.04659703,-0.190806592,1.883165023,8.343664842,2.068033956,2.069892473,-0.662272618,-6.190020193,-4.523608953,-1.667798981,3.010588756,0.970017929,0,-3.909605605,-2.483893018,4.969459647,3.692099344,6.438291982,14.75092914,3.672768879,2.43015595,-3.371375342,-1.661186726,-2.283153513,2.165441835,19.01 ,8.78 ,3.82,3.22 
2018/1/31,-0.496660499,0.190443213,7.247010982,-14.32119772,9.048271335,0.694073679,1.544764366,2.177421408,-1.271261653,3.06791796,-2.853628204,4.142179446,0,3.781657433,3.095130105,3.897656461,5.202720724,-9.18879733,-0.089623356,0.307973081,2.143043677,-1.498517307,1.774414631,2.228128829,1.389091769,5.55 ,-13.34 ,5.45,1.95 
2018/2/28,3.424753228,-0.452173913,-5.093733295,-0.388197869,-2.449517486,3.304078472,-2.646500882,-4.048585141,10.3335231,-1.073905042,-4.71015131,-2.368760756,0,-2.194332322,-0.210736764,0.188518186,2.073742613,-0.184170396,-6.251251835,-2.899061033,2.517104216,-2.827640468,2.513271096,3.024627963,-0.83859585,-23.44 ,-2.36 ,0.25,2.38 
2018/3/31,-5.268527273,-0.524475524,1.482360414,-4.191702226,0.929404268,2.033178232,-2.782213567,-1.883513589,6.376337353,-2.782217844,-1.484386347,-4.920589341,0,1.130806627,-2.211265602,0.037671864,3.283926869,-1.743115307,-4.041476169,-9.141217463,-1.867984926,1.1305899,-2.976381218,-4.030585524,-4.479491624,10.34 ,0.85 ,5.23,-0.13 
2018/4/30,-9.097276314,-0.262927257,7.02715974,0.263594276,5.358796712,2.239802225,-0.68627451,3.174528524,2.731966608,-0.00390585,-1.011563955,0.849555902,0,3.022980501,-1.173988712,-5.478828983,0.080740648,-1.018265405,2.657382096,-11.24453734,-1.06888361,2.002083539,6.885596939,7.874167712,-0.594267221,5.50 ,-2.66 ,-0.84,-0.20 
2018/5/31,2.901839075,0.131291028,6.809995658,9.220773374,5.021176045,3.275944524,0.586557034,1.404989335,-6.144419044,1.090267968,3.151988779,3.065383345,0.860613841,1.784431875,1.051528939,0.607986704,-0.888857727,3.75254391,4.500070428,-5.397016121,-0.598200455,2.043016369,3.443717588,2.91544097,4.072521254,7.21 ,10.14 ,-0.83,-0.38 
2018/6/30,0.03152059,-0.219298246,-1.402519267,-0.769750421,-3.727933809,0.994318182,2.394602135,-1.432007099,-9.251818873,2.794509542,0.314606742,-0.171897308,0.574386612,-3.201739216,-2.153534926,-0.537228108,-0.859641254,1.181001359,0.187696075,5.522760813,-0.048637731,-0.241295964,0.423578649,0.192616973,0.851864039,-3.50 ,0.63 ,-0.94,0.36 
2018/7/31,-5.405827975,-0.131752306,-1.320328731,5.901581551,4.712397006,-0.571428571,-6.236413917,-2.368197211,0.842504432,-5.637391152,4.003043662,1.342879408,-26.5790845,2.654326077,0.844087233,-1.795084913,-2.593024519,-0.165998635,-1.634861761,3.370355135,0.012363996,-1.688138513,-1.500488173,-1.432121247,-0.58773784,11.17 ,6.00 ,-3.23,0.23 
2018/8/31,7.775851719,-0.290697674,-1.503321921,8.715494525,-4.137440256,0,-1.120963566,3.168838505,-2.693294357,-0.795675499,11.18958941,6.155357679,3.090216145,11.94072747,15.65268417,3.577327957,-1.611469325,4.567196154,-0.693587629,9.227820372,0.570416994,1.453425398,-1.813710957,-1.955210026,5.695527548,-1.36 ,9.02 ,-1.32,0.92 
2018/9/30,1.135802956,0.202197802,6.6588221,13.82337332,3.162647705,0.237529691,-0.554636361,-0.049234555,-8.916870529,-1.389782121,0.666747028,-0.491159204,1.3483769,7.1253161,6.324953065,2.846032792,-2.717483054,0.920726888,2.386243145,6.489757914,1.691173508,0.757817709,3.469580149,2.892127404,-0.603452612,-17.31 ,17.56 ,-2.09,0.51 
